R,Csca,Cext,Cabs
5.000000000000000000e+00,3.190599607833812489e-05,3.551985549953660861e-03,3.520079553875322953e-03
1.000000000000000000e+01,5.172642126791333374e-04,7.769177110054859697e-03,7.251912897375726794e-03
1.500000000000000000e+01,2.676649036754987204e-03,1.407216677413762954e-02,1.139551773738264190e-02
2.000000000000000000e+01,8.721874642488067209e-03,2.485371559189185689e-02,1.613184094940378968e-02
2.500000000000000000e+01,2.213919960359751055e-02,4.376141455725777313e-02,2.162221495366026258e-02
3.000000000000000000e+01,4.811146168143533297e-02,7.612583484180295013e-02,2.801437316036761715e-02
3.500000000000000000e+01,9.407919476151566096e-02,1.295305417462060404e-01,3.545134698469037948e-02
4.000000000000000000e+01,1.703840041541576644e-01,2.144596389023653848e-01,4.407563474820772043e-02
4.500000000000000000e+01,2.907940450848303660e-01,3.448104364829778778e-01,5.401639139814751189e-02
5.000000000000000000e+01,4.724104628734901445e-01,5.377526556523289925e-01,6.534219277883884791e-02
5.500000000000000000e+01,7.339492234210255317e-01,8.119087346332137800e-01,7.795951121218824831e-02
6.000000000000000000e+01,1.090873059882843554e+00,1.182322292430171062e+00,9.144923254732750806e-02
6.500000000000000000e+01,1.546186032781821984e+00,1.651069307497885941e+00,1.048832747160639567e-01
7.000000000000000000e+01,2.078629414750862825e+00,2.195390989787506797e+00,1.167615750366439720e-01
7.500000000000000000e+01,2.636026295859192903e+00,2.761307005060348541e+00,1.252807092011556378e-01
8.000000000000000000e+01,3.144787254096913731e+00,3.273781014339787188e+00,1.289937602428734564e-01
8.500000000000000000e+01,3.536759647278695073e+00,3.664264131477501074e+00,1.275044841988060007e-01
9.000000000000000000e+01,3.776118032737747043e+00,3.897749235263143319e+00,1.216312025253962759e-01
9.500000000000000000e+01,3.866459950938476275e+00,3.979375906177038846e+00,1.129159552385625709e-01
