R,Csca,Cext,Cabs
5.000000000000000000e+00,2.488368850142384765e-05,3.874879364803116011e-02,3.872390995952973425e-02
1.000000000000000000e+01,4.025922217824661549e-04,7.972671709930992390e-02,7.932412487752746322e-02
1.500000000000000000e+01,2.075675143244664310e-03,1.256734261393423480e-01,1.235977509960976828e-01
2.000000000000000000e+01,6.726754703777085807e-03,1.799380122803380111e-01,1.732112575765609175e-01
2.500000000000000000e+01,1.694725172568456104e-02,2.466049825034213050e-01,2.296577307777367405e-01
3.000000000000000000e+01,3.647000133426477053e-02,3.306874177303784634e-01,2.942174163961137068e-01
3.500000000000000000e+01,7.044177248398146574e-02,4.383473819616997558e-01,3.679056094777182762e-01
4.000000000000000000e+01,1.256651665619867297e-01,5.770372412121864691e-01,4.513720746501997394e-01
4.500000000000000000e+01,2.106496991967181653e-01,7.553421531639172848e-01,5.446924539671991194e-01
5.000000000000000000e+01,3.351696126344240745e-01,9.821485709958578392e-01,6.469789583614338202e-01
5.500000000000000000e+01,5.088668080614717759e-01,1.264637394088277356e+00,7.557705860268055797e-01
6.000000000000000000e+01,7.384210099194563615e-01,1.604721249075382827e+00,8.663002391559264659e-01
6.500000000000000000e+01,1.023283332101892817e+00,1.994298275612443661e+00,9.710149435105508431e-01
7.000000000000000000e+01,1.351268803818949760e+00,2.411297552852559090e+00,1.060028749033609330e+00
7.500000000000000000e+01,1.696975819630681004e+00,2.820081050375896403e+00,1.123105230745215399e+00
8.000000000000000000e+01,2.026083088373361818e+00,3.178940425084649579e+00,1.152857336711287761e+00
8.500000000000000000e+01,2.305179079307568824e+00,3.452708660071063473e+00,1.147529580763494650e+00
9.000000000000000000e+01,2.511963184583667630e+00,3.623458904978729578e+00,1.111495720395061948e+00
9.500000000000000000e+01,2.639865867561007828e+00,3.693057033758706975e+00,1.053191166197699147e+00
