R,Csca,Cext,Cabs
5.000000000000000000e+00,3.746818797635158077e-05,1.680749954212158448e-01,1.680375272332395031e-01
1.000000000000000000e+01,6.054733991312854580e-04,3.410508553434192791e-01,3.404453819442879725e-01
1.500000000000000000e+01,3.111960588623174061e-03,5.241155362018307118e-01,5.210035756132075369e-01
2.000000000000000000e+01,1.002279443090221822e-02,7.226978557690569849e-01,7.126750613381547250e-01
2.500000000000000000e+01,2.498301091725982706e-02,9.421895248732974348e-01,9.172065139560375835e-01
3.000000000000000000e+01,5.286451258412586118e-02,1.187331621512717206e+00,1.134467108928591372e+00
3.500000000000000000e+01,9.958940300004005819e-02,1.461131172668886702e+00,1.361541769668846547e+00
4.000000000000000000e+01,1.715168328964359890e-01,1.763256679043607278e+00,1.591739846147171233e+00
4.500000000000000000e+01,2.741894772754615017e-01,2.088124524374277868e+00,1.813935047098816256e+00
5.000000000000000000e+01,4.104329634488764200e-01,2.423363170433264990e+00,2.012930206984388626e+00
5.500000000000000000e+01,5.782680647051539058e-01,2.749821784189390161e+00,2.171553719484236034e+00
6.000000000000000000e+01,7.696554219206050984e-01,3.044211504773524091e+00,2.274556082852918770e+00
6.500000000000000000e+01,9.711908083405623726e-01,3.284292017984868917e+00,2.313101209644306433e+00
7.000000000000000000e+01,1.167004826377647575e+00,3.454665113664800558e+00,2.287660287287152983e+00
7.500000000000000000e+01,1.342696826414065070e+00,3.550340841822649196e+00,2.207644015408583904e+00
8.000000000000000000e+01,1.488419473156412653e+00,3.576481257782953449e+00,2.088061784626540796e+00
8.500000000000000000e+01,1.599929622994122891e+00,3.545094413071699702e+00,1.945164790077576811e+00
9.000000000000000000e+01,1.677770524183951562e+00,3.470832819692464266e+00,1.793062295508512705e+00
9.500000000000000000e+01,1.725559883571013753e+00,3.367692525219796007e+00,1.642132641648782254e+00
