wl,n,k
2.999999999999999889e-01,1.684871250000000042e+00,1.980392680000000016e+00
3.099999999999999978e-01,1.719258619999999960e+00,1.982082439999999890e+00
3.200000000000000067e-01,1.751862969999999908e+00,1.969183869999999947e+00
3.300000000000000155e-01,1.770196740000000046e+00,1.946662300000000068e+00
3.400000000000000244e-01,1.764861900000000094e+00,1.917027339999999969e+00
3.499999999999999778e-01,1.727735459999999890e+00,1.900659810000000061e+00
3.599999999999999867e-01,1.683251260000000027e+00,1.920035280000000011e+00
3.699999999999999956e-01,1.657057140000000039e+00,1.957011220000000051e+00
3.800000000000000044e-01,1.648634259999999907e+00,1.984296049999999978e+00
3.900000000000000133e-01,1.644250290000000003e+00,2.003102370000000132e+00
4.000000000000000222e-01,1.638434839999999948e+00,2.010852149999999838e+00
4.099999999999999756e-01,1.628132039999999892e+00,2.013325940000000092e+00
4.199999999999999845e-01,1.611843139999999952e+00,2.010215239999999959e+00
4.299999999999999933e-01,1.588794629999999986e+00,2.002243009999999934e+00
4.400000000000000022e-01,1.558342579999999922e+00,1.987345279999999992e+00
4.500000000000000111e-01,1.515996789999999983e+00,1.961270140000000106e+00
4.600000000000000200e-01,1.455292159999999946e+00,1.928575530000000038e+00
4.699999999999999734e-01,1.372027639999999993e+00,1.891325490000000054e+00
4.799999999999999822e-01,1.247880759999999922e+00,1.853432329999999961e+00
4.899999999999999911e-01,1.079025839999999903e+00,1.846038920000000028e+00
5.000000000000000000e-01,8.873115879999999844e-01,1.898224619999999918e+00
5.100000000000000089e-01,7.135994559999999653e-01,2.016585880000000053e+00
5.200000000000000178e-01,5.766856740000000370e-01,2.178071290000000104e+00
5.300000000000000266e-01,4.892187559999999769e-01,2.328448439999999842e+00
5.400000000000000355e-01,4.249703490000000250e-01,2.475915389999999938e+00
5.500000000000000444e-01,3.771950000000000025e-01,2.612970240000000111e+00
5.600000000000000533e-01,3.386301170000000083e-01,2.746557790000000221e+00
5.699999999999999512e-01,3.074072090000000146e-01,2.874728010000000111e+00
5.799999999999999600e-01,2.809797560000000249e-01,2.995925310000000064e+00
5.899999999999999689e-01,2.592892840000000088e-01,3.113635219999999926e+00
5.999999999999999778e-01,2.407562249999999904e-01,3.233409360000000010e+00
6.099999999999999867e-01,2.246623949999999870e-01,3.345805850000000081e+00
6.199999999999999956e-01,2.109562150000000025e-01,3.455452259999999942e+00
6.300000000000000044e-01,1.972644610000000021e-01,3.560933059999999983e+00
6.400000000000000133e-01,1.865120819999999957e-01,3.669174270000000071e+00
6.500000000000000222e-01,1.770313410000000087e-01,3.772157410000000155e+00
6.600000000000000311e-01,1.688540209999999930e-01,3.875783740000000144e+00
6.700000000000000400e-01,1.619441309999999912e-01,3.978302540000000054e+00
6.800000000000000488e-01,1.568283739999999926e-01,4.080840539999999628e+00
6.899999999999999467e-01,1.539065030000000001e-01,4.179234710000000241e+00
6.999999999999999556e-01,1.518501630000000102e-01,4.277383649999999982e+00
7.099999999999999645e-01,1.522581090000000026e-01,4.372777980000000397e+00
7.199999999999999734e-01,1.521261760000000018e-01,4.465942069999999653e+00
7.299999999999999822e-01,1.527812739999999947e-01,4.559705710000000245e+00
7.399999999999999911e-01,1.533422779999999985e-01,4.651037510000000097e+00
7.500000000000000000e-01,1.538193039999999900e-01,4.745983240000000158e+00
7.600000000000000089e-01,1.550510250000000090e-01,4.834943230000000369e+00
7.700000000000000178e-01,1.577281889999999909e-01,4.918419970000000419e+00
7.800000000000000266e-01,1.602079730000000035e-01,5.008524900000000279e+00
7.900000000000000355e-01,1.615458919999999965e-01,5.096458550000000365e+00
8.000000000000000444e-01,1.629323589999999988e-01,5.181264159999999563e+00
8.100000000000000533e-01,1.651144710000000126e-01,5.268301349999999772e+00
8.199999999999999512e-01,1.683516869999999999e-01,5.362530689999999822e+00
8.299999999999999600e-01,1.688043680000000102e-01,5.430610709999999841e+00
8.399999999999999689e-01,1.714100759999999946e-01,5.520139499999999977e+00
8.499999999999999778e-01,1.733953619999999973e-01,5.601158200000000420e+00
8.599999999999999867e-01,1.764696149999999963e-01,5.695182220000000406e+00
8.699999999999999956e-01,1.785633080000000039e-01,5.776668560000000063e+00
8.800000000000000044e-01,1.799354139999999880e-01,5.858117649999999621e+00
8.900000000000000133e-01,1.833474390000000009e-01,5.934815989999999708e+00
9.000000000000000222e-01,1.856234499999999954e-01,6.016377949999999863e+00
9.100000000000000311e-01,1.877780980000000044e-01,6.098376880000000000e+00
9.200000000000000400e-01,1.907054800000000105e-01,6.177891319999999631e+00
9.300000000000000488e-01,1.943817630000000130e-01,6.261809419999999626e+00
9.399999999999999467e-01,1.974098300000000084e-01,6.341268310000000241e+00
9.499999999999999556e-01,2.005508559999999996e-01,6.422695140000000080e+00
9.599999999999999645e-01,2.032914819999999956e-01,6.502393070000000108e+00
9.699999999999999734e-01,2.052866200000000030e-01,6.584767549999999581e+00
9.799999999999999822e-01,2.088993439999999868e-01,6.665418479999999590e+00
9.899999999999999911e-01,2.106872919999999982e-01,6.746735170000000004e+00
1.000000000000000000e+00,2.120005699999999993e-01,6.820668369999999925e+00
1.010000000000000009e+00,2.132195349999999878e-01,6.904972790000000415e+00
1.020000000000000018e+00,2.115840940000000003e-01,6.977258019999999838e+00
1.030000000000000027e+00,2.345952769999999910e-01,7.043735429999999909e+00
1.040000000000000036e+00,2.378934169999999959e-01,7.123742100000000299e+00
1.050000000000000044e+00,2.416358160000000033e-01,7.203851320000000058e+00
1.060000000000000053e+00,2.464054009999999961e-01,7.270216709999999694e+00
1.070000000000000062e+00,2.501044689999999959e-01,7.358858099999999958e+00
1.080000000000000071e+00,2.564095129999999778e-01,7.437545949999999628e+00
1.090000000000000080e+00,2.575730210000000131e-01,7.506648580000000237e+00
1.100000000000000089e+00,2.633815509999999915e-01,7.588702739999999558e+00
1.110000000000000098e+00,2.655268760000000228e-01,7.668800680000000369e+00
1.120000000000000107e+00,2.696510570000000273e-01,7.738472299999999748e+00
1.129999999999999893e+00,2.763390439999999781e-01,7.820881530000000303e+00
1.139999999999999902e+00,2.806591520000000228e-01,7.898351889999999820e+00
1.149999999999999911e+00,2.854715110000000111e-01,7.973153690000000182e+00
1.159999999999999920e+00,2.902011330000000000e-01,8.053478659999999678e+00
1.169999999999999929e+00,2.964226680000000003e-01,8.135878930000000508e+00
1.179999999999999938e+00,3.007163720000000096e-01,8.201142159999999848e+00
1.189999999999999947e+00,3.030532559999999931e-01,8.274731870000000100e+00
1.199999999999999956e+00,3.103889389999999748e-01,8.350481000000000265e+00
1.209999999999999964e+00,3.148569010000000223e-01,8.432437350000000720e+00
1.219999999999999973e+00,3.206001390000000062e-01,8.511765929999999258e+00
1.229999999999999982e+00,3.243449990000000227e-01,8.587587120000000240e+00
1.239999999999999991e+00,3.313289489999999837e-01,8.659841370000000538e+00
1.250000000000000000e+00,3.326457729999999779e-01,8.739417109999999767e+00
1.260000000000000009e+00,3.362481580000000192e-01,8.829304640000000148e+00
1.270000000000000018e+00,3.422852739999999727e-01,8.883469520000000230e+00
1.280000000000000027e+00,3.465645969999999743e-01,8.968160819999999589e+00
1.290000000000000036e+00,3.514285839999999883e-01,9.042896779999999524e+00
1.300000000000000044e+00,3.559978850000000139e-01,9.119938030000000140e+00
1.310000000000000053e+00,3.580737959999999998e-01,9.192170779999999652e+00
1.320000000000000062e+00,3.644791050000000254e-01,9.272013069999999857e+00
1.330000000000000071e+00,3.711813529999999917e-01,9.346741800000000211e+00
1.340000000000000080e+00,3.760096689999999908e-01,9.423874279999999715e+00
1.350000000000000089e+00,3.798665720000000134e-01,9.493858489999999151e+00
1.360000000000000098e+00,3.861646959999999740e-01,9.576315270000000268e+00
1.370000000000000107e+00,3.859520519999999899e-01,9.651406290000000610e+00
1.379999999999999893e+00,3.925895039999999780e-01,9.721184380000000402e+00
1.389999999999999902e+00,3.985778799999999955e-01,9.800307789999999741e+00
1.399999999999999911e+00,4.060464670000000220e-01,9.878069440000000867e+00
1.409999999999999920e+00,4.111297930000000211e-01,9.958911210000000125e+00
1.419999999999999929e+00,4.139495420000000037e-01,1.002975200000000022e+01
1.429999999999999938e+00,4.162527690000000224e-01,1.009907240000000073e+01
1.439999999999999947e+00,4.204620379999999824e-01,1.017383769999999998e+01
1.449999999999999956e+00,4.251710659999999864e-01,1.024782510000000002e+01
1.459999999999999964e+00,4.310536979999999851e-01,1.033021429999999974e+01
1.469999999999999973e+00,4.379265159999999879e-01,1.040996370000000049e+01
1.479999999999999982e+00,4.407462400000000113e-01,1.047648000000000046e+01
1.489999999999999991e+00,4.443465710000000235e-01,1.054755319999999941e+01
1.500000000000000000e+00,4.517200419999999883e-01,1.062222410000000039e+01
1.510000000000000009e+00,4.565807029999999767e-01,1.069932969999999983e+01
1.520000000000000018e+00,4.555125569999999846e-01,1.077064990000000044e+01
1.530000000000000027e+00,4.615596470000000173e-01,1.084409430000000008e+01
1.540000000000000036e+00,4.677419580000000132e-01,1.093215029999999999e+01
1.550000000000000044e+00,4.700198589999999843e-01,1.099708460000000088e+01
1.560000000000000053e+00,4.828521439999999831e-01,1.107402199999999937e+01
1.570000000000000062e+00,4.894030899999999851e-01,1.115335340000000031e+01
1.580000000000000071e+00,4.916814990000000218e-01,1.122666339999999963e+01
1.590000000000000080e+00,4.893337720000000002e-01,1.129388190000000058e+01
1.600000000000000089e+00,4.972486019999999840e-01,1.136763430000000064e+01
1.610000000000000098e+00,5.040143449999999747e-01,1.144343650000000068e+01
1.620000000000000107e+00,5.090962220000000427e-01,1.152260579999999912e+01
1.629999999999999893e+00,5.072840309999999686e-01,1.159893040000000042e+01
1.639999999999999902e+00,5.195470509999999820e-01,1.167426719999999918e+01
1.649999999999999911e+00,5.188103250000000166e-01,1.175803980000000060e+01
1.659999999999999920e+00,5.296072769999999874e-01,1.182595719999999950e+01
1.669999999999999929e+00,5.314123729999999934e-01,1.190145039999999987e+01
1.679999999999999938e+00,5.384795039999999977e-01,1.196382849999999998e+01
1.689999999999999947e+00,5.452837209999999990e-01,1.204336179999999956e+01
1.699999999999999956e+00,5.494346129999999606e-01,1.212141470000000076e+01
1.709999999999999964e+00,5.552572869999999883e-01,1.218441769999999913e+01
1.719999999999999973e+00,5.626126289999999752e-01,1.226257110000000061e+01
1.729999999999999982e+00,5.616104210000000263e-01,1.232983600000000024e+01
1.739999999999999991e+00,5.634332440000000553e-01,1.240108870000000074e+01
1.750000000000000000e+00,5.666707050000000523e-01,1.247566289999999967e+01
1.760000000000000009e+00,5.735459739999999584e-01,1.254519649999999942e+01
1.770000000000000018e+00,5.800569070000000105e-01,1.261767640000000057e+01
1.780000000000000027e+00,5.873237420000000375e-01,1.269610920000000043e+01
1.790000000000000036e+00,5.906181879999999884e-01,1.275094630000000073e+01
1.800000000000000044e+00,5.959557410000000388e-01,1.282124999999999915e+01
1.810000000000000053e+00,5.956011679999999586e-01,1.289396160000000080e+01
1.820000000000000062e+00,6.043134510000000015e-01,1.296909639999999975e+01
1.830000000000000071e+00,6.126534590000000113e-01,1.303347499999999926e+01
1.840000000000000080e+00,6.189380180000000342e-01,1.310025289999999920e+01
1.850000000000000089e+00,6.214983330000000139e-01,1.317221259999999994e+01
1.860000000000000098e+00,6.296767970000000103e-01,1.323155769999999976e+01
1.870000000000000107e+00,6.321581760000000161e-01,1.330554809999999932e+01
1.879999999999999893e+00,6.365200020000000292e-01,1.338663269999999983e+01
1.889999999999999902e+00,6.405633250000000167e-01,1.344970780000000055e+01
1.899999999999999911e+00,6.521757959999999743e-01,1.358106519999999939e+01
1.909999999999999920e+00,6.543370040000000554e-01,1.365153420000000040e+01
1.919999999999999929e+00,6.562630760000000008e-01,1.372827279999999917e+01
1.929999999999999938e+00,6.681674869999999489e-01,1.379199400000000075e+01
1.939999999999999947e+00,6.712890900000000327e-01,1.385933840000000039e+01
1.949999999999999956e+00,6.768686510000000434e-01,1.393438850000000073e+01
