wl,n,k
3.931066796553571163e-01,1.747050913711149178e+00,1.194103600200454363e+00
3.984659039155960536e-01,1.681953303083143059e+00,1.232210514855825334e+00
4.038251281758351019e-01,1.616855692455136273e+00,1.274248041850062574e+00
4.091843524360740947e-01,1.551758081827130153e+00,1.326687653641083209e+00
4.145435766963131430e-01,1.504736420175085021e+00,1.379127265432104510e+00
4.199028009565521358e-01,1.459356270983464654e+00,1.430748844756726701e+00
4.252620252167911841e-01,1.413976121791843621e+00,1.481686278223659503e+00
4.306212494770301769e-01,1.368595972600223032e+00,1.532623711690592083e+00
4.359804737372692252e-01,1.331231010631590550e+00,1.583561145157524885e+00
4.413396979975082179e-01,1.295764254722430620e+00,1.634498578624457465e+00
4.466989222577472107e-01,1.260297498813270467e+00,1.698699764180929161e+00
4.520581465179862590e-01,1.224830742904110314e+00,1.766921551040867788e+00
4.574173707782253073e-01,1.198331290858823506e+00,1.834562489194655921e+00
4.627765950384643001e-01,1.187811720903382717e+00,1.887958112830111723e+00
4.681358192987032929e-01,1.177292150947941707e+00,1.941353736465567303e+00
4.734950435589423412e-01,1.166772580992500696e+00,1.994749360101023328e+00
4.788542678191813340e-01,1.156253011037059908e+00,2.048144983736479130e+00
4.842134920794203823e-01,1.145733441081618897e+00,2.101540607371935376e+00
4.895727163396593196e-01,1.135213871126177887e+00,2.154936231007390735e+00
4.949319405998983123e-01,1.124694301170736876e+00,2.208331854642846537e+00
5.002911648601373606e-01,1.116041974692624006e+00,2.265577153137294797e+00
5.056503891203764089e-01,1.117743273906105950e+00,2.326197993741557557e+00
5.110096133806154572e-01,1.119444573119588116e+00,2.386818834345819873e+00
5.163688376408543945e-01,1.121145872333070059e+00,2.440950473550907773e+00
5.217280619010935538e-01,1.122847171546552003e+00,2.487549145629123437e+00
5.270872861613324911e-01,1.124548470760034169e+00,2.534147817707338657e+00
5.324465104215715394e-01,1.126249769973516113e+00,2.580746489785553432e+00
5.378057346818104767e-01,1.127951069186998057e+00,2.627345161863768652e+00
5.431649589420494140e-01,1.129652368400480000e+00,2.673943833941983428e+00
5.485241832022884623e-01,1.133812995734439388e+00,2.716711699843658678e+00
5.538834074625275106e-01,1.138104262984030113e+00,2.751331036221270399e+00
5.592426317227665589e-01,1.142395530233620615e+00,2.785950372598881231e+00
5.646018559830054961e-01,1.146686797483211340e+00,2.820569708976492063e+00
5.699610802432446555e-01,1.150978064732801842e+00,2.855189045354103783e+00
5.753203045034835927e-01,1.155269331982392567e+00,2.889808381731714615e+00
