wl,n,k
2.107300000000000006e-01,1.708804999999999907e+00,1.639256999999999964e+00
2.123099999999999987e-01,1.723351000000000077e+00,1.642573000000000061e+00
2.138899999999999968e-01,1.737946999999999909e+00,1.645702999999999916e+00
2.154699999999999949e-01,1.752574000000000076e+00,1.648620999999999892e+00
2.170499999999999929e-01,1.767212000000000005e+00,1.651305999999999941e+00
2.186299999999999910e-01,1.781841000000000008e+00,1.653740999999999906e+00
2.202099999999999891e-01,1.796442000000000094e+00,1.655912000000000051e+00
2.217899999999999872e-01,1.810994999999999910e+00,1.657810000000000006e+00
2.233700000000000130e-01,1.825480999999999909e+00,1.659427999999999903e+00
2.249500000000000111e-01,1.839879000000000042e+00,1.660762000000000072e+00
2.265199999999999991e-01,1.854173999999999989e+00,1.661810999999999927e+00
2.280999999999999972e-01,1.868346000000000062e+00,1.662576999999999972e+00
2.296799999999999953e-01,1.882378000000000107e+00,1.663062000000000040e+00
2.312599999999999933e-01,1.896257000000000081e+00,1.663272000000000084e+00
2.328399999999999914e-01,1.909966000000000053e+00,1.663211999999999913e+00
2.344199999999999895e-01,1.923491999999999980e+00,1.662892000000000037e+00
2.360099999999999976e-01,1.936822999999999961e+00,1.662320000000000020e+00
2.375899999999999956e-01,1.949947000000000097e+00,1.661507999999999985e+00
2.391699999999999937e-01,1.962855000000000016e+00,1.660466999999999915e+00
2.407499999999999918e-01,1.975538000000000016e+00,1.659208999999999934e+00
2.423299999999999899e-01,1.987988000000000088e+00,1.657747000000000082e+00
2.439099999999999879e-01,2.000198999999999838e+00,1.656095000000000095e+00
2.454900000000000138e-01,2.012166999999999817e+00,1.654266999999999932e+00
2.470700000000000118e-01,2.023887000000000214e+00,1.652276999999999996e+00
2.486500000000000099e-01,2.035356999999999861e+00,1.650139000000000022e+00
2.502300000000000080e-01,2.046575999999999951e+00,1.647866999999999971e+00
2.518099999999999783e-01,2.057544000000000040e+00,1.645475999999999939e+00
2.533900000000000041e-01,2.068261000000000127e+00,1.642981000000000025e+00
2.549699999999999744e-01,2.078730000000000189e+00,1.640393999999999908e+00
2.565600000000000103e-01,2.088954999999999895e+00,1.637728999999999990e+00
2.581399999999999806e-01,2.098937999999999970e+00,1.635000000000000009e+00
2.597200000000000064e-01,2.108686000000000060e+00,1.632217999999999947e+00
2.612999999999999767e-01,2.118203999999999976e+00,1.629396000000000067e+00
2.628800000000000026e-01,2.127498999999999807e+00,1.626544999999999908e+00
2.644599999999999729e-01,2.136578999999999784e+00,1.623675999999999897e+00
2.660399999999999987e-01,2.145450999999999997e+00,1.620797999999999961e+00
2.676299999999999790e-01,2.154126000000000207e+00,1.617919000000000107e+00
2.692100000000000048e-01,2.162612999999999897e+00,1.615048999999999957e+00
2.707899999999999752e-01,2.170920000000000183e+00,1.612195000000000045e+00
2.723700000000000010e-01,2.179060000000000219e+00,1.609361999999999959e+00
2.739500000000000268e-01,2.187041999999999931e+00,1.606556000000000095e+00
2.755400000000000071e-01,2.194876999999999967e+00,1.603779999999999983e+00
2.771199999999999775e-01,2.202576000000000089e+00,1.601039000000000101e+00
2.787000000000000033e-01,2.210151000000000199e+00,1.598335000000000061e+00
2.802799999999999736e-01,2.217613000000000056e+00,1.595666999999999947e+00
2.818700000000000094e-01,2.224972000000000172e+00,1.593037999999999954e+00
2.834499999999999797e-01,2.232238999999999862e+00,1.590445000000000109e+00
2.850300000000000056e-01,2.239425000000000221e+00,1.587887000000000048e+00
2.866099999999999759e-01,2.246539999999999981e+00,1.585361000000000020e+00
2.882000000000000117e-01,2.253592999999999957e+00,1.582862999999999909e+00
2.897799999999999820e-01,2.260594000000000214e+00,1.580387999999999904e+00
2.913600000000000079e-01,2.267549999999999955e+00,1.577930999999999973e+00
2.929399999999999782e-01,2.274469999999999992e+00,1.575487000000000082e+00
2.945300000000000140e-01,2.281359999999999832e+00,1.573045999999999944e+00
2.961099999999999843e-01,2.288225999999999871e+00,1.570602999999999971e+00
2.976900000000000102e-01,2.295075000000000198e+00,1.568148000000000097e+00
2.992699999999999805e-01,2.301908000000000065e+00,1.565674000000000010e+00
3.008600000000000163e-01,2.308730999999999867e+00,1.563169999999999948e+00
3.024399999999999866e-01,2.315544000000000047e+00,1.560627999999999904e+00
3.040200000000000125e-01,2.322348999999999997e+00,1.558038000000000034e+00
3.056099999999999928e-01,2.329145000000000021e+00,1.555390999999999968e+00
3.071900000000000186e-01,2.335930999999999980e+00,1.552677000000000085e+00
3.087699999999999889e-01,2.342705000000000037e+00,1.549887000000000015e+00
3.103600000000000247e-01,2.349464000000000219e+00,1.547012000000000054e+00
3.119399999999999951e-01,2.356202000000000130e+00,1.544043000000000054e+00
3.135200000000000209e-01,2.362913999999999959e+00,1.540972999999999926e+00
3.151100000000000012e-01,2.369594999999999896e+00,1.537792999999999966e+00
3.166900000000000270e-01,2.376234999999999875e+00,1.534497999999999918e+00
3.182800000000000074e-01,2.382827999999999946e+00,1.531082000000000054e+00
3.198599999999999777e-01,2.389364000000000043e+00,1.527538000000000062e+00
3.214400000000000035e-01,2.395833999999999797e+00,1.523864000000000107e+00
3.230299999999999838e-01,2.402228000000000030e+00,1.520056999999999992e+00
3.246100000000000096e-01,2.408535999999999788e+00,1.516115000000000101e+00
3.261899999999999800e-01,2.414746000000000059e+00,1.512035999999999936e+00
3.277800000000000158e-01,2.420849000000000029e+00,1.507821999999999996e+00
3.293599999999999861e-01,2.426832999999999796e+00,1.503473999999999977e+00
3.309500000000000219e-01,2.432687000000000044e+00,1.498995000000000077e+00
3.325299999999999923e-01,2.438401999999999958e+00,1.494388999999999967e+00
3.341199999999999726e-01,2.443966999999999778e+00,1.489660999999999902e+00
3.356999999999999984e-01,2.449371999999999883e+00,1.484815999999999914e+00
3.372800000000000242e-01,2.454609000000000041e+00,1.479862999999999928e+00
3.388700000000000045e-01,2.459670000000000023e+00,1.474809000000000037e+00
3.404499999999999749e-01,2.464545999999999903e+00,1.469662999999999942e+00
3.420400000000000107e-01,2.469231999999999871e+00,1.464434999999999931e+00
3.436199999999999810e-01,2.473720999999999837e+00,1.459135000000000071e+00
3.452100000000000168e-01,2.478009999999999824e+00,1.453773999999999900e+00
3.467899999999999872e-01,2.482094000000000023e+00,1.448363000000000067e+00
3.483700000000000130e-01,2.485971999999999849e+00,1.442914999999999948e+00
3.499599999999999933e-01,2.489643000000000050e+00,1.437440000000000051e+00
3.515400000000000191e-01,2.493104999999999905e+00,1.431950999999999974e+00
3.531299999999999994e-01,2.496361999999999970e+00,1.426458999999999921e+00
3.547100000000000253e-01,2.499414999999999942e+00,1.420976000000000017e+00
3.563000000000000056e-01,2.502266999999999797e+00,1.415513000000000021e+00
3.578799999999999759e-01,2.504925000000000068e+00,1.410080999999999918e+00
3.594700000000000117e-01,2.507391999999999843e+00,1.404689999999999994e+00
3.610499999999999821e-01,2.509676999999999936e+00,1.399348000000000036e+00
3.626400000000000179e-01,2.511786999999999992e+00,1.394063999999999970e+00
3.642199999999999882e-01,2.513729000000000102e+00,1.388845000000000107e+00
3.658100000000000240e-01,2.515512999999999888e+00,1.383696000000000037e+00
3.673899999999999944e-01,2.517148000000000163e+00,1.378622999999999932e+00
3.689799999999999747e-01,2.518641999999999825e+00,1.373628000000000071e+00
3.705600000000000005e-01,2.520004000000000133e+00,1.368714999999999904e+00
3.721499999999999808e-01,2.521243999999999819e+00,1.363882000000000039e+00
3.737300000000000066e-01,2.522368000000000166e+00,1.359129000000000032e+00
3.753199999999999870e-01,2.523381999999999792e+00,1.354456000000000104e+00
3.769000000000000128e-01,2.524293000000000120e+00,1.349858999999999920e+00
3.784899999999999931e-01,2.525101999999999958e+00,1.345337000000000005e+00
3.800700000000000189e-01,2.525811000000000028e+00,1.340886000000000022e+00
3.816599999999999993e-01,2.526418000000000053e+00,1.336505999999999972e+00
3.832499999999999796e-01,2.526921000000000195e+00,1.332197999999999993e+00
3.848300000000000054e-01,2.527314000000000060e+00,1.327965000000000062e+00
3.864199999999999857e-01,2.527591000000000143e+00,1.323817000000000021e+00
3.880000000000000115e-01,2.527747000000000188e+00,1.319766999999999912e+00
3.895899999999999919e-01,2.527779999999999916e+00,1.315836999999999923e+00
