wl,n,k
4.170821804289506773e-01,8.492767891218195864e-01,1.209236344227988091e+00
4.190186476926697212e-01,8.421627031175938916e-01,1.231767268268939786e+00
4.209551149563888761e-01,8.350486171133679747e-01,1.254298192309892146e+00
4.228915822201079200e-01,8.279345311091422799e-01,1.276829116350843840e+00
4.248280494838270194e-01,8.208204451049165851e-01,1.299360040391795312e+00
4.267645167475460632e-01,8.137063591006908903e-01,1.321890964432747007e+00
4.287009840112651626e-01,8.065922730964649734e-01,1.344421888473699367e+00
4.306374512749842620e-01,7.977729241805456839e-01,1.366952812514651061e+00
4.325739185387033059e-01,7.879605359517529717e-01,1.389483736555602755e+00
4.345103858024224608e-01,7.781481477229599264e-01,1.411484764681460780e+00
4.364468530661415047e-01,7.683357594941671032e-01,1.430001468495801786e+00
4.383833203298605485e-01,7.585233712653743909e-01,1.448518172310142793e+00
4.403197875935797034e-01,7.487109830365813457e-01,1.467034876124484244e+00
4.422562548572987473e-01,7.388985948077885224e-01,1.485551579938825251e+00
4.441927221210178467e-01,7.312530034533736290e-01,1.504068283753166479e+00
4.461291893847368906e-01,7.238836750718679047e-01,1.522584987567507486e+00
4.480656566484560455e-01,7.165143466903619585e-01,1.541101691381848937e+00
4.500021239121750893e-01,7.091450183088562342e-01,1.559618395196189944e+00
4.519385911758941332e-01,7.017756899273505100e-01,1.578135099010530951e+00
4.538750584396132881e-01,6.944063615458445637e-01,1.596651802824872624e+00
4.558115257033323320e-01,6.870370331643388395e-01,1.616707505518271137e+00
4.577479929670514314e-01,6.796677047828331153e-01,1.637157065175199433e+00
4.596844602307704752e-01,6.749346872083799020e-01,1.657606624832127729e+00
4.616209274944895746e-01,6.702998981390311251e-01,1.678056184489056690e+00
4.635573947582086740e-01,6.656651090696825701e-01,1.698505744145984986e+00
4.654938620219277179e-01,6.610303200003339041e-01,1.718955303802913281e+00
4.674303292856468728e-01,6.563955309309852382e-01,1.739404863459842243e+00
4.693667965493659167e-01,6.517607418616366832e-01,1.759854423116770539e+00
4.713032638130850160e-01,6.471259527922880173e-01,1.780303982773699056e+00
4.732397310768041154e-01,6.429486153522486758e-01,1.800753542430627796e+00
4.751761983405231593e-01,6.390478555206169364e-01,1.821203102087556314e+00
4.771126656042422587e-01,6.351470956889851971e-01,1.840748421666414281e+00
4.790491328679613581e-01,6.312463358573533467e-01,1.860152183119863079e+00
4.809856001316804575e-01,6.273455760257216074e-01,1.879555944573311210e+00
4.829220673953995013e-01,6.234448161940897570e-01,1.898959706026759564e+00
4.848585346591186007e-01,6.195440563624579067e-01,1.918363467480208140e+00
4.867950019228377001e-01,6.156432965308261673e-01,1.937767228933656494e+00
4.887314691865567440e-01,6.117425366991944280e-01,1.957170990387104625e+00
4.906679364502758434e-01,6.108208421527254739e-01,1.976574751840552979e+00
4.926044037139948872e-01,6.105862768044958422e-01,1.995978513294001111e+00
4.945408709777140421e-01,6.103517114562660995e-01,2.015382274747449909e+00
4.964773382414330860e-01,6.101171461080363567e-01,2.034786036200898263e+00
4.984138055051521299e-01,6.098825807598066140e-01,2.054189797654346172e+00
5.003502727688712293e-01,6.096480154115768713e-01,2.073593559107794970e+00
5.022867400325903287e-01,6.094134500633471285e-01,2.092997320561243324e+00
5.042232072963094280e-01,6.091788847151173858e-01,2.112401082014691678e+00
5.061596745600285274e-01,6.089443193668877541e-01,2.131804843468140476e+00
5.080961418237476268e-01,6.087097540186580114e-01,2.151208604921588385e+00
5.100326090874666152e-01,6.084751886704282686e-01,2.170612366375036739e+00
5.119690763511858256e-01,6.082406233221985259e-01,2.190016127828485537e+00
5.139055436149048139e-01,6.080060579739687832e-01,2.209419889281933003e+00
5.158420108786239133e-01,6.077714926257390404e-01,2.228823650735381801e+00
5.177784781423430127e-01,6.075369272775092977e-01,2.251496339035424121e+00
5.197149454060620011e-01,6.073023619292795550e-01,2.274559864599298820e+00
5.216514126697812115e-01,6.070677965810498122e-01,2.297623390163175294e+00
5.235878799335003109e-01,6.068332312328200695e-01,2.320686915727051325e+00
5.255243471972192992e-01,6.065986658845903268e-01,2.343750441290926467e+00
5.274608144609383986e-01,6.063641005363605840e-01,2.366813966854802498e+00
5.293972817246576090e-01,6.061295351881308413e-01,2.389877492418678973e+00
5.313337489883765974e-01,6.058949698399010986e-01,2.412941017982553671e+00
5.332702162520956968e-01,6.056604044916713558e-01,2.436004543546430146e+00
5.352066835158147962e-01,6.059779177763733315e-01,2.459068069110306176e+00
5.371431507795337845e-01,6.063676157485197171e-01,2.477123878444316141e+00
5.390796180432529949e-01,6.067573137206661027e-01,2.494236418069278205e+00
5.410160853069719833e-01,6.071470116928124883e-01,2.511348957694239381e+00
5.429525525706910827e-01,6.075367096649588738e-01,2.528461497319201445e+00
5.448890198344101821e-01,6.079264076371052594e-01,2.545574036944163510e+00
5.468254870981292814e-01,6.083161056092516450e-01,2.562686576569126018e+00
5.487619543618483808e-01,6.087058035813980306e-01,2.579799116194087194e+00
5.506984216255674802e-01,6.090955015535444161e-01,2.596911655819049258e+00
5.526348888892864686e-01,6.094851995256908017e-01,2.614024195444010434e+00
